Time Stamp,Sensor Value
2025-03-15T15:36:15.773594+05:30,Sensor Value: 136
2025-03-15T15:36:17.775152+05:30,Sensor Value: 138
2025-03-15T15:36:19.775111+05:30,Sensor Value: 132
2025-03-15T15:36:21.778418+05:30,Sensor Value: 138
2025-03-15T15:36:23.782541+05:30,Sensor Value: 139
2025-03-15T15:36:25.778881+05:30,Sensor Value: 139
2025-03-15T15:36:27.782453+05:30,Sensor Value: 129
2025-03-15T15:36:29.787077+05:30,Sensor Value: 139
2025-03-15T15:36:31.791003+05:30,Sensor Value: 139
2025-03-15T15:36:33.790844+05:30,Sensor Value: 137
2025-03-15T15:36:35.793497+05:30,Sensor Value: 131
2025-03-15T15:36:37.789232+05:30,Sensor Value: 139
2025-03-15T15:36:39.789751+05:30,Sensor Value: 140
2025-03-15T15:36:41.791241+05:30,Sensor Value: 138
2025-03-15T15:36:43.799461+05:30,Sensor Value: 137
2025-03-15T15:36:45.795093+05:30,Sensor Value: 137
2025-03-15T15:36:47.802929+05:30,Sensor Value: 137
2025-03-15T15:36:49.797402+05:30,Sensor Value: 139
2025-03-15T15:36:51.806231+05:30,Sensor Value: 141
2025-03-15T15:36:53.805265+05:30,Sensor Value: 140
2025-03-15T15:36:55.803522+05:30,Sensor Value: 141
2025-03-15T15:36:57.808626+05:30,Sensor Value: 139
2025-03-15T15:36:59.810169+05:30,Sensor Value: 139
2025-03-15T15:37:01.807554+05:30,Sensor Value: 139
2025-03-15T15:37:03.809952+05:30,Sensor Value: 134
2025-03-15T15:37:05.811716+05:30,Sensor Value: 129
2025-03-15T15:37:07.815405+05:30,Sensor Value: 124
2025-03-15T15:37:09.818032+05:30,Sensor Value: 127
2025-03-15T15:37:11.818964+05:30,Sensor Value: 126
2025-03-15T15:37:13.820635+05:30,Sensor Value: 126
2025-03-15T15:37:15.822634+05:30,Sensor Value: 128
2025-03-15T15:37:17.822671+05:30,Sensor Value: 124
2025-03-15T15:37:19.820818+05:30,Sensor Value: 128
2025-03-15T15:37:21.818479+05:30,Sensor Value: 132
2025-03-15T15:37:23.823895+05:30,Sensor Value: 133
2025-03-15T15:37:25.824748+05:30,Sensor Value: 126
2025-03-15T15:37:27.825736+05:30,Sensor Value: 132
2025-03-15T15:37:29.826654+05:30,Sensor Value: 131
2025-03-15T15:37:31.836195+05:30,Sensor Value: 131
2025-03-15T15:37:33.838283+05:30,Sensor Value: 130
2025-03-15T15:37:35.834371+05:30,Sensor Value: 126
2025-03-15T15:37:37.832934+05:30,Sensor Value: 137
2025-03-15T15:37:39.841238+05:30,Sensor Value: 135
2025-03-15T15:37:41.844656+05:30,Sensor Value: 128
2025-03-15T15:37:43.840776+05:30,Sensor Value: 130
2025-03-15T15:37:45.844146+05:30,Sensor Value: 130
2025-03-15T15:37:47.845688+05:30,Sensor Value: 126
2025-03-15T15:37:49.846835+05:30,Sensor Value: 130
2025-03-15T15:37:51.845254+05:30,Sensor Value: 133
2025-03-15T15:37:53.852315+05:30,Sensor Value: 135
2025-03-15T15:37:55.852139+05:30,Sensor Value: 135
2025-03-15T15:37:57.848024+05:30,Sensor Value: 137
2025-03-15T15:37:59.854175+05:30,Sensor Value: 131
2025-03-15T15:38:01.854264+05:30,Sensor Value: 133
2025-03-15T15:38:03.860501+05:30,Sensor Value: 135
2025-03-15T15:38:05.859749+05:30,Sensor Value: 169
2025-03-15T15:38:07.857295+05:30,Sensor Value: 168
2025-03-15T15:38:09.862402+05:30,Sensor Value: 162
2025-03-15T15:38:11.861038+05:30,Sensor Value: 159
2025-03-15T15:38:13.860568+05:30,Sensor Value: 151
2025-03-15T15:38:15.859687+05:30,Sensor Value: 149
2025-03-15T15:38:17.871143+05:30,Sensor Value: 146
2025-03-15T15:38:19.865098+05:30,Sensor Value: 0
2025-03-15T15:38:21.870715+05:30,Sensor Value: 120
2025-03-15T15:38:23.874584+05:30,Sensor Value: 157
2025-03-15T15:38:25.869735+05:30,Sensor Value: 168
2025-03-15T15:38:27.878228+05:30,Sensor Value: 143
2025-03-15T15:38:29.872656+05:30,Sensor Value: 138
2025-03-15T15:38:31.872533+05:30,Sensor Value: 146
2025-03-15T15:38:33.879299+05:30,Sensor Value: 144
2025-03-15T15:38:35.881437+05:30,Sensor Value: 143
2025-03-15T15:38:37.879383+05:30,Sensor Value: 143
2025-03-15T15:38:39.882513+05:30,Sensor Value: 140
2025-03-15T15:38:41.884282+05:30,Sensor Value: 139
2025-03-15T15:38:43.887309+05:30,Sensor Value: 139
2025-03-15T15:38:45.888300+05:30,Sensor Value: 140
2025-03-15T15:38:47.885689+05:30,Sensor Value: 138
2025-03-15T15:38:49.886910+05:30,Sensor Value: 138
2025-03-15T15:38:51.888931+05:30,Sensor Value: 136
2025-03-15T15:38:53.891542+05:30,Sensor Value: 135
2025-03-15T15:38:55.890536+05:30,Sensor Value: 137
2025-03-15T15:38:57.895687+05:30,Sensor Value: 137
2025-03-15T15:38:59.899794+05:30,Sensor Value: 137
2025-03-15T15:39:01.897332+05:30,Sensor Value: 136
2025-03-15T15:39:03.899464+05:30,Sensor Value: 136
2025-03-15T15:39:05.906366+05:30,Sensor Value: 135
2025-03-15T15:39:07.906391+05:30,Sensor Value: 135
2025-03-15T15:39:09.908782+05:30,Sensor Value: 135
2025-03-15T15:39:11.908727+05:30,Sensor Value: 135
2025-03-15T15:39:13.914135+05:30,Sensor Value: 135
2025-03-15T15:39:15.907269+05:30,Sensor Value: 135
2025-03-15T15:39:17.906347+05:30,Sensor Value: 133
2025-03-15T15:39:19.912237+05:30,Sensor Value: 109
2025-03-15T15:39:21.915494+05:30,Sensor Value: 107
2025-03-15T15:39:23.918374+05:30,Sensor Value: 116
2025-03-15T15:39:25.914420+05:30,Sensor Value: 112
2025-03-15T15:39:27.919459+05:30,Sensor Value: 109
2025-03-15T15:39:29.926344+05:30,Sensor Value: 102
2025-03-15T15:39:31.921708+05:30,Sensor Value: 104
2025-03-15T15:39:33.925548+05:30,Sensor Value: 109
2025-03-15T15:39:35.925754+05:30,Sensor Value: 145
2025-03-15T15:39:37.923362+05:30,Sensor Value: 150
2025-03-15T15:39:39.925937+05:30,Sensor Value: 115
2025-03-15T15:39:41.932447+05:30,Sensor Value: 96
2025-03-15T15:39:43.929666+05:30,Sensor Value: 104
2025-03-15T15:39:45.930253+05:30,Sensor Value: 98
2025-03-15T15:39:47.936205+05:30,Sensor Value: 101
2025-03-15T15:39:49.938940+05:30,Sensor Value: 100
2025-03-15T15:39:51.940609+05:30,Sensor Value: 101
2025-03-15T15:39:53.938988+05:30,Sensor Value: 102
2025-03-15T15:39:55.942026+05:30,Sensor Value: 99
2025-03-15T15:39:57.942121+05:30,Sensor Value: 97
2025-03-15T15:39:59.946138+05:30,Sensor Value: 103
2025-03-15T15:40:01.943987+05:30,Sensor Value: 101
2025-03-15T15:40:03.940927+05:30,Sensor Value: 109
2025-03-15T15:40:05.945855+05:30,Sensor Value: 101
2025-03-15T15:40:07.945546+05:30,Sensor Value: 99
2025-03-15T15:40:09.953627+05:30,Sensor Value: 112
2025-03-15T15:40:11.951627+05:30,Sensor Value: 106
2025-03-15T15:40:13.950158+05:30,Sensor Value: 113
2025-03-15T15:40:15.956531+05:30,Sensor Value: 111
2025-03-15T15:40:17.958647+05:30,Sensor Value: 108
2025-03-15T15:40:19.957990+05:30,Sensor Value: 115
