Date,Time,Filename,Visibility (%),Avg Dark Value
13-03-2025,07:16:04,image_20250313_071604.jpg,71.39,72.95
13-03-2025,07:16:10,image_20250313_071610.jpg,71.44,72.83
13-03-2025,07:16:16,image_20250313_071616.jpg,71.21,73.41
13-03-2025,07:16:22,image_20250313_071622.jpg,71.51,72.64
13-03-2025,07:16:28,image_20250313_071628.jpg,71.27,73.26
13-03-2025,07:16:34,image_20250313_071634.jpg,71.56,72.52
13-03-2025,07:16:40,image_20250313_071640.jpg,71.54,72.57
13-03-2025,07:16:46,image_20250313_071646.jpg,71.42,72.87
13-03-2025,07:16:52,image_20250313_071652.jpg,71.76,72.02
13-03-2025,07:16:58,image_20250313_071658.jpg,71.94,71.54
13-03-2025,07:17:04,image_20250313_071704.jpg,72.16,70.99
13-03-2025,07:17:10,image_20250313_071710.jpg,72.14,71.04
13-03-2025,07:17:16,image_20250313_071716.jpg,71.77,72
13-03-2025,07:17:22,image_20250313_071722.jpg,71.21,73.41
13-03-2025,07:17:28,image_20250313_071728.jpg,71.28,73.24
13-03-2025,07:17:34,image_20250313_071734.jpg,71.75,72.03
13-03-2025,07:17:40,image_20250313_071740.jpg,71.75,72.04
13-03-2025,07:17:46,image_20250313_071746.jpg,71.85,71.79
13-03-2025,07:17:52,image_20250313_071752.jpg,61.98,96.94
13-03-2025,07:17:59,image_20250313_071759.jpg,71.43,72.86
13-03-2025,07:18:05,image_20250313_071805.jpg,71.56,72.51
13-03-2025,07:18:11,image_20250313_071811.jpg,71.42,72.87
13-03-2025,07:18:16,image_20250313_071816.jpg,71.66,72.26
13-03-2025,07:18:22,image_20250313_071822.jpg,71.49,72.69
13-03-2025,07:18:28,image_20250313_071828.jpg,71.59,72.45
13-03-2025,07:18:34,image_20250313_071834.jpg,71.6,72.42
13-03-2025,07:18:40,image_20250313_071840.jpg,71.6,72.42
13-03-2025,07:18:46,image_20250313_071846.jpg,71.53,72.6
13-03-2025,07:18:52,image_20250313_071852.jpg,71.48,72.73
13-03-2025,07:18:58,image_20250313_071858.jpg,71.51,72.65
13-03-2025,07:19:04,image_20250313_071904.jpg,72.74,69.51
13-03-2025,07:19:10,image_20250313_071910.jpg,72.9,69.12
13-03-2025,07:19:15,image_20250313_071915.jpg,72.95,68.97
13-03-2025,07:19:21,image_20250313_071921.jpg,73.03,68.76
13-03-2025,07:19:27,image_20250313_071927.jpg,73.68,67.12
13-03-2025,07:19:33,image_20250313_071933.jpg,73.59,67.35
13-03-2025,07:19:39,image_20250313_071939.jpg,72.24,70.79
13-03-2025,07:19:45,image_20250313_071945.jpg,71.63,72.34
13-03-2025,07:19:51,image_20250313_071951.jpg,71.87,71.73
13-03-2025,07:19:57,image_20250313_071957.jpg,71.8,71.92
13-03-2025,07:20:03,image_20250313_072003.jpg,71.9,71.66
13-03-2025,07:20:08,image_20250313_072008.jpg,71.97,71.48
13-03-2025,07:20:14,image_20250313_072014.jpg,72.01,71.37
13-03-2025,07:20:20,image_20250313_072020.jpg,71.55,72.54
13-03-2025,07:20:26,image_20250313_072026.jpg,72.79,69.39
13-03-2025,07:20:32,image_20250313_072032.jpg,72.8,69.35
13-03-2025,07:20:38,image_20250313_072038.jpg,71.45,72.79
13-03-2025,07:20:44,image_20250313_072044.jpg,71.43,72.86
13-03-2025,07:20:50,image_20250313_072050.jpg,71.33,73.11
13-03-2025,07:20:56,image_20250313_072056.jpg,71.27,73.25
13-03-2025,07:21:01,image_20250313_072101.jpg,71.25,73.3
13-03-2025,07:21:07,image_20250313_072107.jpg,71.31,73.15
13-03-2025,07:21:13,image_20250313_072113.jpg,71.01,73.91
13-03-2025,07:21:19,image_20250313_072119.jpg,71.57,72.51
13-03-2025,07:21:25,image_20250313_072125.jpg,71.53,72.61
13-03-2025,07:21:31,image_20250313_072131.jpg,71.49,72.71
13-03-2025,07:21:36,image_20250313_072136.jpg,71.58,72.48
13-03-2025,07:21:42,image_20250313_072142.jpg,71.79,71.92
13-03-2025,07:21:48,image_20250313_072148.jpg,71.61,72.38
13-03-2025,07:21:54,image_20250313_072154.jpg,71.62,72.38
13-03-2025,07:22:00,image_20250313_072200.jpg,71.68,72.21
13-03-2025,07:22:06,image_20250313_072206.jpg,71.62,72.38
13-03-2025,07:22:12,image_20250313_072212.jpg,71.61,72.39
13-03-2025,07:22:18,image_20250313_072218.jpg,71.58,72.46
13-03-2025,07:22:23,image_20250313_072223.jpg,71.63,72.35
13-03-2025,07:22:29,image_20250313_072229.jpg,71.46,72.78
13-03-2025,07:22:35,image_20250313_072235.jpg,71.4,72.93
13-03-2025,07:22:41,image_20250313_072241.jpg,71.26,73.29
13-03-2025,07:22:47,image_20250313_072247.jpg,71.68,72.22
13-03-2025,07:22:52,image_20250313_072252.jpg,71.64,72.31
13-03-2025,07:22:58,image_20250313_072258.jpg,71.77,71.99
13-03-2025,07:23:04,image_20250313_072304.jpg,71.71,72.13
13-03-2025,07:23:10,image_20250313_072310.jpg,71.59,72.44
13-03-2025,07:23:16,image_20250313_072316.jpg,71.53,72.61
13-03-2025,07:23:22,image_20250313_072322.jpg,71.49,72.71
13-03-2025,07:23:27,image_20250313_072327.jpg,71.47,72.75
13-03-2025,07:23:33,image_20250313_072333.jpg,71.52,72.62
13-03-2025,07:23:39,image_20250313_072339.jpg,71.67,72.24
13-03-2025,07:23:45,image_20250313_072345.jpg,71.68,72.22
13-03-2025,07:23:50,image_20250313_072350.jpg,71.7,72.17
13-03-2025,07:23:56,image_20250313_072356.jpg,71.79,71.95
13-03-2025,07:24:02,image_20250313_072402.jpg,71.76,72
13-03-2025,07:24:08,image_20250313_072408.jpg,71.74,72.07
13-03-2025,07:24:14,image_20250313_072414.jpg,71.67,72.25
13-03-2025,07:24:19,image_20250313_072419.jpg,71.85,71.79
13-03-2025,07:24:26,image_20250313_072426.jpg,71.89,71.68
13-03-2025,07:24:32,image_20250313_072432.jpg,71.95,71.52
13-03-2025,07:24:38,image_20250313_072438.jpg,71.99,71.43
13-03-2025,07:24:44,image_20250313_072444.jpg,71.76,72.01
13-03-2025,07:24:50,image_20250313_072450.jpg,72.03,71.32
13-03-2025,07:24:56,image_20250313_072456.jpg,72.11,71.11
